"ID","CODIGO_PEDIDO","CODIGO_CLIENTE","NOME_FARMACIA","QUANTIDADE_PRODUTOS","VALOR_COMPRA","METODO_PAGAMENTO"
44,"36224442","9702",FARMACIA C,5,72.39,CARTAO DE DEBITO
45,"61489263","6489",FARMACIA C,5,271.78,CARTAO DE DEBITO
46,"42736019","4209",FARMACIA C,4,205.74,PIX
47,"46030101","3057",FARMACIA C,1,43.18,CARTAO DE DEBITO
48,"73479100","7481",FARMACIA C,12,615.30,DINHEIRO EM ESPECIE
49,"10979219","3203",FARMACIA C,10,353.06,PIX
50,"43549474","5365",FARMACIA C,4,26.67,DINHEIRO EM ESPECIE
51,"39147295","4872",FARMACIA C,12,729.10,CARTAO DE CREDITO
52,"54192761","5834",FARMACIA C,8,276.86,PIX
53,"73472299","8609",FARMACIA C,3,462.28,CARTAO DE DEBITO
54,"36042085","9317",FARMACIA C,5,302.26,CARTAO DE DEBITO
55,"12153087","4125",FARMACIA C,11,529.59,DINHEIRO EM ESPECIE
56,"8541817","4568",FARMACIA C,4,33.02,CARTAO DE DEBITO
57,"96585993","2014",FARMACIA C,8,593.09,CARTAO DE DEBITO
58,"62574497","3272",FARMACIA C,10,496.57,DINHEIRO EM ESPECIE
59,"62098589","1950",FARMACIA C,7,584.20,DINHEIRO EM ESPECIE
60,"30038498","9869",FARMACIA C,5,398.70,DINHEIRO EM ESPECIE
61,"15501531","1627",FARMACIA C,7,287.02,PIX
62,"91884524","6000",FARMACIA C,4,138.43,CARTAO DE DEBITO
63,"53927505","9335",FARMACIA C,9,314.96,CARTAO DE DEBITO
64,"4077932","5223",FARMACIA C,1,198.12,DINHEIRO EM ESPECIE
65,"34510942","5235",FARMACIA C,1,54.90,DINHEIRO EM ESPECIE
66,"1076061","7343",FARMACIA C,8,398.78,PIX
67,"51058326","8108",FARMACIA C,6,445.77,PIX
68,"79744570","9131",FARMACIA C,6,414.02,DINHEIRO EM ESPECIE
69,"11440992","4110",FARMACIA C,8,492.76,CARTAO DE DEBITO
70,"72136406","2170",FARMACIA C,8,378.46,DINHEIRO EM ESPECIE
71,"2015330","2257",FARMACIA C,5,146.05,CARTAO DE DEBITO
72,"9193264","3769",FARMACIA C,1,232.90,DINHEIRO EM ESPECIE
73,"30785102","9604",FARMACIA C,1,248.90,DINHEIRO EM ESPECIE
74,"24923959","6656",FARMACIA C,8,398.78,CARTAO DE DEBITO
75,"91652523","3791",FARMACIA C,11,584.20,CARTAO DE CREDITO
76,"22067601","6015",FARMACIA C,10,297.18,CARTAO DE CREDITO
77,"49587393","3672",FARMACIA C,4,534.67,DINHEIRO EM ESPECIE
78,"85088183","6641",FARMACIA C,5,396.24,CARTAO DE CREDITO
79,"59155642","6116",FARMACIA C,9,434.34,CARTAO DE DEBITO
80,"98993851","2022",FARMACIA C,10,401.32,PIX
81,"1359258","3346",FARMACIA C,5,326.10,DINHEIRO EM ESPECIE
82,"36866905","2300",FARMACIA C,12,383.54,CARTAO DE DEBITO
83,"79986944","6854",FARMACIA C,8,443.23,CARTAO DE CREDITO
84,"71469695","9830",FARMACIA C,4,212.09,CARTAO DE CREDITO
85,"70549795","7238",FARMACIA C,2,26.67,PIX
86,"61263377","9689",FARMACIA C,5,590.10,DINHEIRO EM ESPECIE
87,"20143994","5445",FARMACIA C,11,345.44,PIX
88,"31789834","6247",FARMACIA C,12,382.27,CARTAO DE CREDITO
89,"2477913","3688",FARMACIA C,3,309.88,CARTAO DE CREDITO
90,"91591586","2429",FARMACIA C,5,360.15,CARTAO DE CREDITO
91,"89805369","3760",FARMACIA C,4,127.00,CARTAO DE DEBITO
92,"45421005","7458",FARMACIA C,11,281.94,DINHEIRO EM ESPECIE
93,"46018630","2698",FARMACIA C,1,220.98,CARTAO DE DEBITO
94,"6609868","3868",FARMACIA C,2,308.61,CARTAO DE CREDITO
95,"46307689","2008",FARMACIA C,11,492.76,CARTAO DE CREDITO
96,"50816815","9644",FARMACIA C,10,472.44,DINHEIRO EM ESPECIE
97,"92332487","5523",FARMACIA C,1,308.61,CARTAO DE DEBITO
98,"64813153","3211",FARMACIA C,3,270.51,CARTAO DE CREDITO
99,"38556272","3021",FARMACIA C,4,294.64,CARTAO DE CREDITO
100,"26730169","9709",FARMACIA C,1,283.21,PIX
101,"61036878","7090",FARMACIA C,4,38.10,CARTAO DE CREDITO
102,"6319112","9523",FARMACIA C,4,19.05,PIX
103,"60911252","4050",FARMACIA C,4,295.91,CARTAO DE CREDITO
104,"50538421","4013",FARMACIA C,3,105.41,DINHEIRO EM ESPECIE
105,"26617454","2039",FARMACIA C,12,598.17,CARTAO DE DEBITO
106,"28157139","5355",FARMACIA C,4,307.34,PIX
107,"18636477","2263",FARMACIA C,2,64.77,DINHEIRO EM ESPECIE
108,"72636718","1208",FARMACIA C,2,50.80,CARTAO DE CREDITO
109,"82128821","3301",FARMACIA C,11,332.74,PIX
110,"98319248","9861",FARMACIA C,1,106.68,CARTAO DE DEBITO
111,"25076086","5314",FARMACIA C,2,281.94,CARTAO DE CREDITO
112,"10667045","6609",FARMACIA C,6,554.99,CARTAO DE CREDITO
113,"25806079","7836",FARMACIA C,3,59.69,DINHEIRO EM ESPECIE
114,"36163993","3025",FARMACIA C,4,229.87,CARTAO DE CREDITO
115,"2598566","9612",FARMACIA C,12,285.75,PIX
116,"54888048","8803",FARMACIA C,10,472.44,CARTAO DE DEBITO
117,"64533586","2043",FARMACIA C,3,317.50,PIX
118,"47927122","9102",FARMACIA C,9,426.72,PIX
119,"31164117","2037",FARMACIA C,9,403.86,DINHEIRO EM ESPECIE
120,"67931356","8061",FARMACIA C,6,431.80,CARTAO DE DEBITO
121,"58218365","3093",FARMACIA C,9,377.19,CARTAO DE DEBITO
122,"42239610","2018",FARMACIA C,9,594.36,PIX
123,"88357648","7527",FARMACIA C,6,485.14,CARTAO DE CREDITO
124,"12430696","4490",FARMACIA C,5,26.67,CARTAO DE CREDITO
125,"16120773","1281",FARMACIA C,7,541.02,PIX
126,"54562585","7306",FARMACIA C,8,317.50,DINHEIRO EM ESPECIE
127,"12231562","2067",FARMACIA C,9,533.40,CARTAO DE DEBITO
128,"79000299","5295",FARMACIA C,3,147.32,CARTAO DE DEBITO
129,"5638537","2630",FARMACIA C,11,563.88,PIX
130,"8763179","5951",FARMACIA C,3,149.86,CARTAO DE DEBITO
131,"38869385","1405",FARMACIA C,2,78.74,CARTAO DE CREDITO
132,"12742954","2543",FARMACIA C,3,87.63,CARTAO DE DEBITO
133,"58213908","6622",FARMACIA C,4,91.44,PIX
134,"58943197","9605",FARMACIA C,2,196.85,CARTAO DE CREDITO
135,"44678869","3829",FARMACIA C,1,71.12,DINHEIRO EM ESPECIE
136,"55380977","7636",FARMACIA C,1,189.23,DINHEIRO EM ESPECIE
137,"96358306","5442",FARMACIA C,4,88.90,PIX
138,"89540563","1978",FARMACIA C,2,152.40,CARTAO DE CREDITO
139,"5096047","8252",FARMACIA C,2,161.29,CARTAO DE CREDITO
140,"47841900","7117",FARMACIA C,2,80.01,CARTAO DE CREDITO
141,"6112606","3101",FARMACIA C,1,142.24,PIX
142,"88880195","8059",FARMACIA C,2,185.42,PIX
143,"51605136","2767",FARMACIA C,1,165.10,PIX
144,"22663702","3598",FARMACIA C,2,91.44,CARTAO DE DEBITO
145,"63832070","9569",FARMACIA C,1,107.95,CARTAO DE DEBITO
146,"82003940","1538",FARMACIA C,2,110.49,PIX
147,"48962679","4841",FARMACIA C,3,46.99,CARTAO DE CREDITO
148,"82358372","9904",FARMACIA C,4,12.70,CARTAO DE DEBITO
149,"35232679","4066",FARMACIA C,1,40.64,CARTAO DE DEBITO
150,"73836514","3906",FARMACIA C,2,52.07,CARTAO DE DEBITO
151,"35822425","4606",FARMACIA C,3,151.13,PIX
152,"28434722","6504",FARMACIA C,3,77.47,CARTAO DE DEBITO
153,"50794763","7370",FARMACIA C,2,204.47,CARTAO DE CREDITO
154,"45126411","7750",FARMACIA C,2,34.29,CARTAO DE DEBITO
155,"16421298","8979",FARMACIA C,3,50.80,CARTAO DE DEBITO
156,"42788167","8873",FARMACIA C,3,25.40,DINHEIRO EM ESPECIE
157,"78726368","4545",FARMACIA C,1,190.50,DINHEIRO EM ESPECIE
158,"93659286","5862",FARMACIA C,4,190.50,PIX
159,"59083160","7177",FARMACIA C,2,138.43,CARTAO DE DEBITO
160,"73547583","4653",FARMACIA C,3,185.42,PIX
161,"84650268","3137",FARMACIA C,1,54.61,PIX
162,"69980218","9512",FARMACIA C,2,31.75,PIX
163,"37196410","6627",FARMACIA C,1,44.45,CARTAO DE DEBITO
164,"65956859","7945",FARMACIA C,3,219.71,CARTAO DE DEBITO
165,"88540179","9480",FARMACIA C,3,125.73,CARTAO DE DEBITO
166,"12023803","6448",FARMACIA C,4,166.37,DINHEIRO EM ESPECIE
167,"76315024","2695",FARMACIA C,3,166.37,DINHEIRO EM ESPECIE
168,"7329498","6596",FARMACIA C,1,186.69,CARTAO DE CREDITO
169,"91990059","1118",FARMACIA C,1,109.22,PIX
170,"4879245","4577",FARMACIA C,1,87.63,CARTAO DE CREDITO
171,"80975939","4699",FARMACIA C,3,82.55,CARTAO DE CREDITO
172,"97799580","8391",FARMACIA C,1,62.23,CARTAO DE CREDITO
173,"66597302","6246",FARMACIA C,3,96.52,DINHEIRO EM ESPECIE
174,"5271958","3277",FARMACIA C,2,121.92,CARTAO DE DEBITO
175,"10462634","2070",FARMACIA C,3,121.92,PIX
176,"66783427","3593",FARMACIA C,3,52.07,PIX
177,"27552381","1943",FARMACIA C,3,80.01,DINHEIRO EM ESPECIE
178,"53091599","7944",FARMACIA C,2,63.50,CARTAO DE CREDITO
179,"22341995","8950",FARMACIA C,3,27.94,CARTAO DE DEBITO
180,"81258414","4177",FARMACIA C,3,140.97,PIX
181,"1343716","9084",FARMACIA C,2,20.32,CARTAO DE DEBITO
182,"14283009","3325",FARMACIA C,1,26.67,PIX
183,"14283010","5618",FARMACIA C,3,189.23,CARTAO DE DEBITO
184,"14283011","1205",FARMACIA C,4,140.97,CARTAO DE CREDITO
185,"14283012","4879",FARMACIA C,1,168.91,PIX
186,"14283013","6266",FARMACIA C,4,172.72,CARTAO DE DEBITO
187,"14283014","9036",FARMACIA C,1,129.54,CARTAO DE DEBITO
188,"14283015","5596",FARMACIA C,1,220.98,CARTAO DE DEBITO
189,"14283016","7095",FARMACIA C,3,109.22,PIX
190,"14283017","3690",FARMACIA C,4,29.21,CARTAO DE DEBITO
191,"14283018","1355",FARMACIA C,1,129.54,CARTAO DE DEBITO
192,"14283019","3546",FARMACIA C,2,53.34,CARTAO DE CREDITO
193,"14283020","6423",FARMACIA C,4,154.94,CARTAO DE CREDITO
194,"14283021","8526",FARMACIA C,4,186.69,PIX
195,"14283022","4132",FARMACIA C,1,73.66,DINHEIRO EM ESPECIE
196,"14283023","9781",FARMACIA C,1,212.09,CARTAO DE DEBITO
197,"14283024","1892",FARMACIA C,4,99.06,CARTAO DE DEBITO
198,"14283025","6538",FARMACIA C,2,40.64,CARTAO DE CREDITO
199,"14283026","2554",FARMACIA C,1,121.92,CARTAO DE CREDITO
200,"14283027","6738",FARMACIA C,1,210.82,PIX
201,"14283028","9670",FARMACIA C,2,72.39,CARTAO DE DEBITO
202,"14283029","5410",FARMACIA C,4,161.29,PIX
203,"14283030","6364",FARMACIA C,1,68.58,CARTAO DE DEBITO
204,"14283031","6127",FARMACIA C,2,205.74,CARTAO DE DEBITO
205,"14283032","1657",FARMACIA C,3,114.30,CARTAO DE CREDITO
206,"14283033","8998",FARMACIA C,2,63.50,DINHEIRO EM ESPECIE
207,"14283034","8759",FARMACIA C,2,88.90,DINHEIRO EM ESPECIE
208,"14283035","7850",FARMACIA C,2,210.82,CARTAO DE CREDITO
209,"14283036","3140",FARMACIA C,3,118.11,CARTAO DE DEBITO
210,"14283037","1542",FARMACIA C,3,204.47,DINHEIRO EM ESPECIE
211,"14283038","3580",FARMACIA C,3,36.83,CARTAO DE DEBITO
212,"14283039","3570",FARMACIA C,3,105.41,DINHEIRO EM ESPECIE
213,"14283040","1520",FARMACIA C,1,81.28,PIX
214,"14283041","1521",FARMACIA C,3,33.02,CARTAO DE DEBITO
215,"14283042","1522",FARMACIA C,2,168.91,CARTAO DE DEBITO
216,"6584324","1657",FARMACIA C,2,45.90,CARTAO DE DEBITO
217,"95478620","3325",FARMACIA C,3,113.70,CARTAO DE DEBITO
218,"54801478","5862",FARMACIA C,6,336.70,CARTAO DE DEBITO
219,"69875036","1405",FARMACIA C,1,69.90,CARTAO DE DEBITO
220,"6981083","1311",FARMACIA C,2,198.90,CARTAO DE DEBITO
221,"41982475","4209",FARMACIA C,3,250.30,CARTAO DE CREDITO
222,"210368","1355",FARMACIA C,4,269.80,CARTAO DE CREDITO
223,"65478521","6501",FARMACIA C,3,115.80,CARTAO DE CREDITO
