"ID","CODIGO_PEDIDO","CODIGO_CLIENTE","NOME_FARMACIA","QUANTIDADE_PRODUTOS","VALOR_COMPRA","METODO_PAGAMENTO"
160,"54752802","8339",FARMACIA B,11,443.23,PIX
161,"54752803","5627",FARMACIA B,3,13.97,DINHEIRO EM ESPECIE
162,"54752804","9128",FARMACIA B,6,373.38,PIX
163,"54752805","9039",FARMACIA B,6,490.22,PIX
164,"54752806","9702",FARMACIA B,4,133.35,CARTAO DE CREDITO
165,"54752807","6489",FARMACIA B,5,180.34,CARTAO DE CREDITO
166,"54752808","4209",FARMACIA B,7,312.42,CARTAO DE CREDITO
167,"54752809","3057",FARMACIA B,5,212.09,PIX
168,"54752810","7481",FARMACIA B,1,38.10,CARTAO DE CREDITO
169,"54752811","3203",FARMACIA B,5,154.94,PIX
170,"54752812","5365",FARMACIA B,5,12.70,CARTAO DE DEBITO
171,"54752813","4872",FARMACIA B,7,544.83,CARTAO DE CREDITO
172,"54752814","5834",FARMACIA B,4,36.83,PIX
173,"1036305","1947",FARMACIA B,2,64.90,CARTAO DE CREDITO
174,"4420906","2591",FARMACIA B,4,226.50,CARTAO DE CREDITO
175,"34758210","6361",FARMACIA B,3,75.80,CARTAO DE CREDITO
176,"5498763","2775",FARMACIA B,2,84.30,CARTAO DE CREDITO
